# Camino geométrico solución – Proyecto 2
# Formato: x,y,theta_deg
0.7500,0.7500,68.96
1.3750,2.3750,68.96
1.3750,2.3750,35.54
3.1250,3.6250,35.54
3.1250,3.6250,78.69
3.2500,4.2500,78.69
3.2500,4.2500,90.00
1.3303,1.6837,-164.03
1.1250,1.6250,-164.03
1.1250,1.6250,63.43
1.6250,2.6250,63.43
1.6250,2.6250,26.57
2.6250,3.1250,26.57
2.6250,3.1250,60.95
3.2500,4.2500,60.95
3.2500,4.2500,90.00
1.3560,1.8153,52.12
3.2500,4.2500,52.12
3.2500,4.2500,90.00
1.3561,1.8152,52.12
3.2500,4.2500,52.12
3.2500,4.2500,90.00
1.3561,1.8152,52.12
3.2500,4.2500,52.12
3.2500,4.2500,90.00
1.3561,1.8152,52.12
3.2500,4.2500,52.12
3.2500,4.2500,90.00
1.3561,1.8152,52.12
3.2500,4.2500,52.12
3.2500,4.2500,90.00
# qf_est,3.2438,4.2634,88.62
# q_act,3.2200,4.2509,90.00
